--------------------
BDMEP - INMET
--------------------
Estação           : SAO LUIS - MA (OMM: 82280)
Latitude  (graus) : -2.53
Longitude (graus) : -44.21
Altitude  (metros): 50.86
Estação Operante
Inicio de operação: 18/11/1924
Periodo solicitado dos dados: 01/01/1998 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVento;Nebulosidade;
82280;09/02/1998;0000;27.6;26;88;1004.4;;;0;
82280;09/02/1998;1200;29.4;26;76;1007.2;;;7;
82280;09/02/1998;1800;32;26.4;65;1004.1;;;4;
82280;10/02/1998;0000;27.2;25.4;87;1005.3;;;5;
82280;10/02/1998;1200;30;26;73;1005.3;;;5;
82280;10/02/1998;1800;31.8;27;69;1004.7;;;5;
82280;11/02/1998;0000;27;25.4;88;1006.3;;;1;
82280;11/02/1998;1200;29;25.4;75;1007.1;;;5;
82280;11/02/1998;1800;31;26;67;1004.1;;;5;
82280;12/02/1998;0000;27.2;25.4;87;1005.3;;;2;
82280;12/02/1998;1200;29.2;25.6;75;1006.6;;;6;
82280;12/02/1998;1800;31;26.6;71;1004.7;;;5;
82280;13/02/1998;0000;27;25.2;87;1005.9;;;2;
82280;13/02/1998;1200;29.6;25.6;73;1007.5;;;5;
82280;13/02/1998;1800;31;26;67;1005.6;;;5;
82280;14/02/1998;0000;26.2;24.2;85;1007.5;;;1;
82280;14/02/1998;1200;29;25;72;1008.1;;;6;
82280;14/02/1998;1800;31.6;26;64;1005.8;;;4;
82280;15/02/1998;0000;27.2;24.8;82;1007.3;;;2;
82280;15/02/1998;1200;29.8;25.6;72;1008.6;;;5;
82280;15/02/1998;1800;31.4;25.4;62;1006.6;;;8;
82280;16/02/1998;0000;27.6;25.2;82;1007.5;;;10;
82280;16/02/1998;1200;29;26;79;1008.1;;;6;
82280;16/02/1998;1800;31.6;25.6;62;1005.6;;;4;
82280;17/02/1998;0000;27;24.6;82;1006;;;4;
82280;17/02/1998;1200;28.8;25.6;77;1006.5;;;6;
82280;17/02/1998;1800;31.2;26.2;67;1004;;;6;
82280;18/02/1998;0000;27.6;25.4;84;1004.4;;;5;
82280;18/02/1998;1200;29.8;25.6;72;1005.6;;;5;
82280;18/02/1998;1800;26.8;25;86;1003.5;;;10;
82280;19/02/1998;0000;26.2;25.4;94;1004.8;;;10;
82280;19/02/1998;1200;26;24;85;1004.8;;;8;
82280;19/02/1998;1800;30.6;25.6;67;1002.2;;;7;
82280;20/02/1998;0000;27;25.2;87;1003.5;;;1;
82280;20/02/1998;1200;28.4;25.4;79;1003.7;;;8;
82280;20/02/1998;1800;32.2;26.2;62;1001.6;;;5;
82280;21/02/1998;0000;27.4;25.6;87;1003.3;;;0;
82280;21/02/1998;1200;29.8;26.2;75;1004.7;;;5;
82280;21/02/1998;1800;31.6;26.8;69;1001.8;;;7;
82280;22/02/1998;0000;26.4;25;89;1004.4;;;10;
82280;22/02/1998;1200;30;26;73;1005.5;;;8;
82280;22/02/1998;1800;31.8;26;63;1002.6;;;4;
82280;23/02/1998;0000;27.2;25;84;1004.3;;;0;
82280;23/02/1998;1200;29.8;26;74;1005.5;;;5;
82280;23/02/1998;1800;31.6;26;64;1003;;;6;
82280;24/02/1998;0000;27.2;25;84;1005.1;;;0;
82280;24/02/1998;1200;28.8;26;80;1006.4;;;8;
82280;24/02/1998;1800;28.9;26;80;1004.1;;;9;
82280;25/02/1998;0000;26.4;25.4;92;1005.3;;;4;
82280;25/02/1998;1200;29;26;79;1005.8;;;8;
82280;25/02/1998;1800;28.2;25.8;83;1003.5;;;10;
82280;26/02/1998;0000;26.6;24.6;85;1004.3;;;3;
82280;26/02/1998;1200;29;26;79;1005.5;;;9;
82280;26/02/1998;1800;31;26;67;1001.3;;;8;
82280;27/02/1998;0000;26.6;24.6;85;1003.3;;;2;
82280;27/02/1998;1200;27.8;26;87;1005.3;;;10;
82280;27/02/1998;1800;27.8;26.4;90;1002.6;;;10;
82280;28/02/1998;0000;26.2;25.2;92;1004;;;2;
82280;28/02/1998;1200;29.4;25.6;74;1004.5;;;8;
82280;28/02/1998;1800;25.2;24.4;94;1002.7;;;10;
82280;01/03/1998;0000;25.2;24.3;93;1003.8;;;10;
82280;01/03/1998;1200;28;25.8;84;1004.7;;;9;
82280;01/03/1998;1800;31.4;26.8;70;1002;;;8;
82280;02/03/1998;0000;27;25.8;91;1002.5;;;0;
82280;02/03/1998;1200;28.8;26.4;83;1004.5;;;8;
82280;02/03/1998;1800;30;26.2;74;1002.2;;;8;
82280;03/03/1998;0000;27.4;25.8;88;1004;;;10;
82280;03/03/1998;1200;28.2;25;77;1005.3;;;8;
82280;03/03/1998;1800;30;26;73;1003.8;;;9;
82280;04/03/1998;0000;27.2;25.6;88;1004.7;;;8;
82280;04/03/1998;1200;29.6;26;75;1005.4;;;6;
82280;04/03/1998;1800;32.6;29.2;78;1002.9;;;6;
82280;05/03/1998;0000;27.6;26;88;1004.3;;;5;
82280;05/03/1998;1200;29.8;26.2;75;1005.3;;;3;
82280;05/03/1998;1800;32;27;68;1002.7;;;2;
82280;06/03/1998;0000;26.8;25.2;88;1003.9;;;1;
82280;06/03/1998;1200;29.4;26.4;79;1004.5;;;8;
82280;06/03/1998;1800;31;26.4;70;1001;;;8;
82280;07/03/1998;0000;26.4;25.4;92;1002.5;;;10;
82280;07/03/1998;1200;30;26;73;1004.5;;;8;
82280;07/03/1998;1800;31.2;26;66;1001.3;;;8;
82280;08/03/1998;0000;26.4;25.2;91;1002.4;;;2;
82280;08/03/1998;1200;29.2;26.6;82;1005.1;;;7;
82280;08/03/1998;1800;30.8;26.8;73;1002.3;;;8;
82280;09/03/1998;0000;26;25.6;97;1004.2;;;8;
82280;09/03/1998;1200;29.4;26;76;1004.5;;;8;
82280;09/03/1998;1800;28.6;25.6;79;1001.5;;;10;
82280;10/03/1998;0000;25.8;25;94;1003.8;;;6;
82280;10/03/1998;1200;26;24;85;1005;;;10;
82280;10/03/1998;1800;28.6;26;81;1002.3;;;8;
82280;11/03/1998;0000;23.2;22.4;93;1005.8;;;10;
82280;11/03/1998;1200;26.8;24.6;84;1007;;;8;
82280;11/03/1998;1800;30.6;26.2;71;1003.1;;;4;
82280;12/03/1998;0000;26;25.2;94;1005.3;;;7;
82280;12/03/1998;1200;28.4;25.4;79;1006.7;;;8;
82280;12/03/1998;1800;30.6;26;70;1004.2;;;8;
82280;13/03/1998;0000;26;25.4;95;1005.5;;;6;
82280;13/03/1998;1200;29.4;26;76;1006.3;;;8;
82280;13/03/1998;1800;29.4;26;76;1003.7;;;8;
82280;14/03/1998;0000;26.4;25.5;93;1004.6;;;8;
82280;14/03/1998;1200;28.8;26.6;84;1005.1;;;8;
82280;14/03/1998;1800;28.4;26.4;85;1003.4;;;10;
82280;15/03/1998;0000;25.3;24.7;95;1003.7;;;9;
82280;15/03/1998;1200;28.4;25.4;79;1005.2;;;8;
82280;15/03/1998;1800;26.8;25.8;92;1003.6;;;9;
82280;16/03/1998;0000;25.8;24.8;92;1002.7;;;10;
82280;16/03/1998;1200;27;26;92;1004.1;;;10;
82280;16/03/1998;1800;27.8;26.2;88;1001.5;;;10;
82280;17/03/1998;0000;26;25;92;1002.9;;;10;
82280;17/03/1998;1200;26;25.6;97;1004.8;;;10;
82280;17/03/1998;1800;28;26.2;87;1002.2;;;10;
82280;18/03/1998;0000;26.4;25.6;94;1003.6;;;3;
82280;18/03/1998;1200;27;26;92;1004.7;;;10;
82280;18/03/1998;1800;30;26;73;1002.3;;;8;
82280;19/03/1998;0000;25;24.4;95;1004.3;;;8;
82280;19/03/1998;1200;26.4;25;89;1005.8;;;9;
82280;19/03/1998;1800;30.5;26.5;73;1002.7;;;8;
82280;20/03/1998;0000;26.2;25.2;92;1004.7;;;10;
82280;20/03/1998;1200;28.6;26.2;83;1006.5;;;9;
82280;20/03/1998;1800;30.6;27;76;1003.2;;;8;
82280;21/03/1998;0000;25.6;25;95;1005.4;;;3;
82280;21/03/1998;1200;28;26;85;1005.7;;;10;
82280;21/03/1998;1800;29.8;26.6;78;1002;;;6;
82280;22/03/1998;0000;25.8;24.8;92;1004.5;;;9;
82280;22/03/1998;1200;29;26;79;1003.8;;;6;
82280;22/03/1998;1800;30;26.5;76;1000.9;;;8;
